# view AndroidManifest.xml #generated:30
-keep class com.example.hellojni.Bzip2 { <init>(...); }

# view AndroidManifest.xml #generated:76
-keep class com.example.hellojni.CheckMain { <init>(...); }

# view AndroidManifest.xml #generated:70
-keep class com.example.hellojni.Crafty { <init>(...); }

# view AndroidManifest.xml #generated:40
-keep class com.example.hellojni.Gcc { <init>(...); }

# view AndroidManifest.xml #generated:45
-keep class com.example.hellojni.Gzip { <init>(...); }

# view AndroidManifest.xml #generated:19
-keep class com.example.hellojni.MainActivity { <init>(...); }

# view AndroidManifest.xml #generated:50
-keep class com.example.hellojni.Mcf { <init>(...); }

# view AndroidManifest.xml #generated:81
-keep class com.example.hellojni.Next { <init>(...); }

# view AndroidManifest.xml #generated:35
-keep class com.example.hellojni.Parser { <init>(...); }

# view AndroidManifest.xml #generated:91
-keep class com.example.hellojni.Run { <init>(...); }

# view AndroidManifest.xml #generated:86
-keep class com.example.hellojni.Testcase { <init>(...); }

# view AndroidManifest.xml #generated:60
-keep class com.example.hellojni.Twolf { <init>(...); }

# view AndroidManifest.xml #generated:55
-keep class com.example.hellojni.Vortex { <init>(...); }

# view AndroidManifest.xml #generated:65
-keep class com.example.hellojni.Vpr { <init>(...); }

# onClick res/layout/activity_check_main.xml #generated:108
# onClick res/layout/activity_next.xml #generated:79
# onClick res/layout/activity_testcase.xml #generated:69
-keepclassmembers class * { *** back(...); }

# onClick res/layout/activity_info.xml #generated:28
# onClick res/layout/activity_main.xml #generated:42
-keepclassmembers class * { *** bzip2(...); }

# onClick res/layout/activity_info.xml #generated:81
# onClick res/layout/activity_main.xml #generated:115
-keepclassmembers class * { *** crafty(...); }

# onClick res/layout/activity_bzip2.xml #generated:62
# onClick res/layout/activity_crafty.xml #generated:61
# onClick res/layout/activity_gap.xml #generated:61
# onClick res/layout/activity_gcc.xml #generated:61
# onClick res/layout/activity_gzip.xml #generated:63
# onClick res/layout/activity_main.xml #generated:159
# onClick res/layout/activity_mcf.xml #generated:62
# onClick res/layout/activity_parser.xml #generated:61
# onClick res/layout/activity_run.xml #generated:28
# onClick res/layout/activity_twolf.xml #generated:61
# onClick res/layout/activity_vortex.xml #generated:61
# onClick res/layout/activity_vpr.xml #generated:61
-keepclassmembers class * { *** exp(...); }

# onClick res/layout/activity_info.xml #generated:91
-keepclassmembers class * { *** gap(...); }

# onClick res/layout/activity_info.xml #generated:45
# onClick res/layout/activity_main.xml #generated:65
-keepclassmembers class * { *** gcc(...); }

# onClick res/layout/activity_info.xml #generated:21
# onClick res/layout/activity_main.xml #generated:33
-keepclassmembers class * { *** gzip(...); }

# onClick res/layout/activity_info.xml #generated:52
# onClick res/layout/activity_main.xml #generated:74
-keepclassmembers class * { *** mcf(...); }

# onClick res/layout/activity_check_main.xml #generated:117
# onClick res/layout/activity_next.xml #generated:69
# onClick res/layout/activity_testcase.xml #generated:58
-keepclassmembers class * { *** next(...); }

# onClick res/layout/activity_testcase.xml #generated:20
# onClick res/layout/activity_testcase.xml #generated:29
# onClick res/layout/activity_testcase.xml #generated:39
# onClick res/layout/activity_testcase.xml #generated:48
-keepclassmembers class * { *** onCheck(...); }

# onClick res/layout/activity_next.xml #generated:13
# onClick res/layout/activity_next.xml #generated:24
# onClick res/layout/activity_next.xml #generated:33
# onClick res/layout/activity_next.xml #generated:42
# onClick res/layout/activity_next.xml #generated:51
# onClick res/layout/activity_next.xml #generated:60
-keepclassmembers class * { *** onCheckboxClick(...); }

# onClick res/layout/activity_check_main.xml #generated:32
# onClick res/layout/activity_check_main.xml #generated:42
# onClick res/layout/activity_check_main.xml #generated:49
# onClick res/layout/activity_check_main.xml #generated:56
# onClick res/layout/activity_check_main.xml #generated:63
# onClick res/layout/activity_check_main.xml #generated:70
# onClick res/layout/activity_check_main.xml #generated:77
# onClick res/layout/activity_check_main.xml #generated:86
# onClick res/layout/activity_check_main.xml #generated:93
# onClick res/layout/activity_check_main.xml #generated:99
-keepclassmembers class * { *** onCheckboxClicked(...); }

# onClick res/layout/activity_info.xml #generated:35
# onClick res/layout/activity_main.xml #generated:51
-keepclassmembers class * { *** parser(...); }

# onClick res/layout/activity_bzip2.xml #generated:55
# onClick res/layout/activity_crafty.xml #generated:54
# onClick res/layout/activity_gap.xml #generated:54
# onClick res/layout/activity_gcc.xml #generated:54
# onClick res/layout/activity_gzip.xml #generated:56
# onClick res/layout/activity_main.xml #generated:151
# onClick res/layout/activity_mcf.xml #generated:55
# onClick res/layout/activity_parser.xml #generated:54
# onClick res/layout/activity_run.xml #generated:18
# onClick res/layout/activity_twolf.xml #generated:54
# onClick res/layout/activity_vortex.xml #generated:54
# onClick res/layout/activity_vpr.xml #generated:54
-keepclassmembers class * { *** res(...); }

# onClick res/layout/activity_main.xml #generated:131
-keepclassmembers class * { *** run(...); }

# onClick res/layout/activity_info.xml #generated:69
# onClick res/layout/activity_main.xml #generated:97
-keepclassmembers class * { *** twolf(...); }

# onClick res/layout/activity_info.xml #generated:59
# onClick res/layout/activity_main.xml #generated:83
-keepclassmembers class * { *** vortex(...); }

# onClick res/layout/activity_info.xml #generated:75
# onClick res/layout/activity_main.xml #generated:106
-keepclassmembers class * { *** vpr(...); }

